source,target,type
1.5,4.5 확률의 계산,PRECEDES
1.6,4.5 확률의 계산,PRECEDES
2.1,4.5 확률의 계산,PRECEDES
2.2,4.5 확률의 계산,PRECEDES
4.1,4.5 확률의 계산,PRECEDES
4.2,4.5 확률의 계산,PRECEDES
4.3,4.5 확률의 계산,PRECEDES
1.3,4.6 도수분포표와 상대도수,PRECEDES
1.4,4.6 도수분포표와 상대도수,PRECEDES
1.5,4.6 도수분포표와 상대도수,PRECEDES
1.6,4.6 도수분포표와 상대도수,PRECEDES
2.1,4.6 도수분포표와 상대도수,PRECEDES
2.2,4.6 도수분포표와 상대도수,PRECEDES
1.3,"4.7 대푯값(평균, 중앙값, 최빈값)",PRECEDES
1.4,"4.7 대푯값(평균, 중앙값, 최빈값)",PRECEDES
1.5,"4.7 대푯값(평균, 중앙값, 최빈값)",PRECEDES
1.6,"4.7 대푯값(평균, 중앙값, 최빈값)",PRECEDES
2.1,"4.7 대푯값(평균, 중앙값, 최빈값)",PRECEDES
1.3,4.8 분산과 표준편차,PRECEDES
1.4,4.8 분산과 표준편차,PRECEDES
1.5,4.8 분산과 표준편차,PRECEDES
1.6,4.8 분산과 표준편차,PRECEDES
1.9,4.8 분산과 표준편차,PRECEDES
2.1,4.8 분산과 표준편차,PRECEDES
4.7,4.8 분산과 표준편차,PRECEDES
1.3,4.9 도수분포표에서의 분산과 표준편차,PRECEDES
1.4,4.9 도수분포표에서의 분산과 표준편차,PRECEDES
1.5,4.9 도수분포표에서의 분산과 표준편차,PRECEDES
1.6,4.9 도수분포표에서의 분산과 표준편차,PRECEDES
1.9,4.9 도수분포표에서의 분산과 표준편차,PRECEDES
2.1,4.9 도수분포표에서의 분산과 표준편차,PRECEDES
2.2,4.9 도수분포표에서의 분산과 표준편차,PRECEDES
4.6,4.9 도수분포표에서의 분산과 표준편차,PRECEDES
4.7,4.9 도수분포표에서의 분산과 표준편차,PRECEDES
4.8,4.9 도수분포표에서의 분산과 표준편차,PRECEDES
1.3,4.10 산정도와 상관관계,PRECEDES
1.4,4.10 산정도와 상관관계,PRECEDES
1.5,4.10 산정도와 상관관계,PRECEDES
1.6,4.10 산정도와 상관관계,PRECEDES
1.9,4.10 산정도와 상관관계,PRECEDES
2.1,4.10 산정도와 상관관계,PRECEDES
2.2,4.10 산정도와 상관관계,PRECEDES
2.3,4.10 산정도와 상관관계,PRECEDES
2.4,4.10 산정도와 상관관계,PRECEDES
2.8,4.10 산정도와 상관관계,PRECEDES
2.9,4.10 산정도와 상관관계,PRECEDES
3.1,4.10 산정도와 상관관계,PRECEDES
3.2,4.10 산정도와 상관관계,PRECEDES
3.3,4.10 산정도와 상관관계,PRECEDES
3.4,4.10 산정도와 상관관계,PRECEDES
3.5,4.10 산정도와 상관관계,PRECEDES
4.6,4.10 산정도와 상관관계,PRECEDES
4.7,4.10 산정도와 상관관계,PRECEDES
4.8,4.10 산정도와 상관관계,PRECEDES
4.9,4.10 산정도와 상관관계,PRECEDES
1.3,"5.1 직선, 반직선, 선분, 두 점 사이의 거리",PRECEDES
1.4,"5.1 직선, 반직선, 선분, 두 점 사이의 거리",PRECEDES
1.5,"5.1 직선, 반직선, 선분, 두 점 사이의 거리",PRECEDES
1.6,"5.1 직선, 반직선, 선분, 두 점 사이의 거리",PRECEDES
3.1,"5.1 직선, 반직선, 선분, 두 점 사이의 거리",PRECEDES
1.3,"5.2 각, 수직과 수선",PRECEDES
1.4,"5.2 각, 수직과 수선",PRECEDES
1.5,"5.2 각, 수직과 수선",PRECEDES
1.6,"5.2 각, 수직과 수선",PRECEDES
3.1,"5.2 각, 수직과 수선",PRECEDES
5.1,"5.2 각, 수직과 수선",PRECEDES
1.3,"5.3 점과 직선, 점과 평면, 두 직선의 위치 관계",PRECEDES
1.4,"5.3 점과 직선, 점과 평면, 두 직선의 위치 관계",PRECEDES
1.5,"5.3 점과 직선, 점과 평면, 두 직선의 위치 관계",PRECEDES
1.6,"5.3 점과 직선, 점과 평면, 두 직선의 위치 관계",PRECEDES
3.1,"5.3 점과 직선, 점과 평면, 두 직선의 위치 관계",PRECEDES
5.1,"5.3 점과 직선, 점과 평면, 두 직선의 위치 관계",PRECEDES
5.2,"5.3 점과 직선, 점과 평면, 두 직선의 위치 관계",PRECEDES
1.3,"5.4 공간에서 직선과 평면, 두 평면의 위치 관계",PRECEDES
1.4,"5.4 공간에서 직선과 평면, 두 평면의 위치 관계",PRECEDES
1.5,"5.4 공간에서 직선과 평면, 두 평면의 위치 관계",PRECEDES
1.6,"5.4 공간에서 직선과 평면, 두 평면의 위치 관계",PRECEDES
3.1,"5.4 공간에서 직선과 평면, 두 평면의 위치 관계",PRECEDES
5.1,"5.4 공간에서 직선과 평면, 두 평면의 위치 관계",PRECEDES
5.2,"5.4 공간에서 직선과 평면, 두 평면의 위치 관계",PRECEDES
5.3,"5.4 공간에서 직선과 평면, 두 평면의 위치 관계",PRECEDES
1.3,"5.5 동위각과 엇각, 평행선의 성질",PRECEDES
1.4,"5.5 동위각과 엇각, 평행선의 성질",PRECEDES
1.5,"5.5 동위각과 엇각, 평행선의 성질",PRECEDES
1.6,"5.5 동위각과 엇각, 평행선의 성질",PRECEDES
3.1,"5.5 동위각과 엇각, 평행선의 성질",PRECEDES
5.1,"5.5 동위각과 엇각, 평행선의 성질",PRECEDES
5.2,"5.5 동위각과 엇각, 평행선의 성질",PRECEDES
5.3,"5.5 동위각과 엇각, 평행선의 성질",PRECEDES
1.3,5.6 삼각형,PRECEDES
1.4,5.6 삼각형,PRECEDES
1.5,5.6 삼각형,PRECEDES
1.6,5.6 삼각형,PRECEDES
3.1,5.6 삼각형,PRECEDES
5.1,5.6 삼각형,PRECEDES
5.2,5.6 삼각형,PRECEDES
5.3,5.6 삼각형,PRECEDES
5.5,5.6 삼각형,PRECEDES
1.3,5.7 삼각형의 합동,PRECEDES
1.4,5.7 삼각형의 합동,PRECEDES
1.5,5.7 삼각형의 합동,PRECEDES
1.6,5.7 삼각형의 합동,PRECEDES
3.1,5.7 삼각형의 합동,PRECEDES
5.1,5.7 삼각형의 합동,PRECEDES
5.2,5.7 삼각형의 합동,PRECEDES
5.3,5.7 삼각형의 합동,PRECEDES
5.5,5.7 삼각형의 합동,PRECEDES
5.6,5.7 삼각형의 합동,PRECEDES
1.3,5.8 다각형의 내각과 외각,PRECEDES
1.4,5.8 다각형의 내각과 외각,PRECEDES
1.5,5.8 다각형의 내각과 외각,PRECEDES
1.6,5.8 다각형의 내각과 외각,PRECEDES
3.1,5.8 다각형의 내각과 외각,PRECEDES
5.1,5.8 다각형의 내각과 외각,PRECEDES
5.2,5.8 다각형의 내각과 외각,PRECEDES
5.3,5.8 다각형의 내각과 외각,PRECEDES
5.5,5.8 다각형의 내각과 외각,PRECEDES
5.6,5.8 다각형의 내각과 외각,PRECEDES
1.3,5.9 원과 부채꼴,PRECEDES
1.4,5.9 원과 부채꼴,PRECEDES
1.5,5.9 원과 부채꼴,PRECEDES
1.6,5.9 원과 부채꼴,PRECEDES
2.1,5.9 원과 부채꼴,PRECEDES
3.1,5.9 원과 부채꼴,PRECEDES
5.1,5.9 원과 부채꼴,PRECEDES
5.2,5.9 원과 부채꼴,PRECEDES
5.3,5.9 원과 부채꼴,PRECEDES
5.5,5.9 원과 부채꼴,PRECEDES
5.6,5.9 원과 부채꼴,PRECEDES
5.8,5.9 원과 부채꼴,PRECEDES
